'arf             	fél/fele         
spike            	tüske            
spike heel       	tûsarok          
spiked           	hegyes           
spikelet         	kalászka         
spike-oil        	levendulaolaj    
spiky            	hegyes           
spill            	kiönt            
spill the beans  	kikotyog/elköp   
spilled          	kiöntött         
spillway         	túlfolyó         
spilt            	kiesett          
spin             	forog            
spin a coin      	pénzfeldobás     
spin a yarn      	mesél            
spin along       	száguld          
spin out         	elhúz            
spinach          	spenót           
spinal           	gerinc           
spinal column    	gerincoszlop     
spinal cord      	gerincagy        
spindle          	orsó             
spindle side     	anyai ág         
spindle-legged   	pipaszárlábú     
spindle-legs     	pipaszárlábak    
spindle-shanks   	pipaszárlábak    
spin-drier       	centrifuga       
spin-dry         	(ki)centrifugáz  
spin-dryer       	centrifuga       
spine            	tüske            
spineless        	gerinctelen      
spinet           	spinét           
spinnaker        	versenyvitorla   
spinner          	fonó             
spinney          	bozót            
spinning         	fonás            
spinning top     	búgócsiga        
spinning-machine 	fonógép          
spinning-mill    	fonoda           
spinning-top     	búgócsiga        
spinning-wheel   	rokka            
spin-off         	mellékhaszon     
spinster         	hajadon          
spiny            	tüskés           
spiral           	spirál           
spiral staircase 	csigalépcsõ      
spire            	csúcs            
spirit           	szellem          
spirit away      	elrejt           
spirit level     	vízmérték        
spirit off       	elrejt           
spirited         	élénk            
spiritedness     	élénkség         
spirit-lamp      	spirituszégõ     
spiritless       	bátortalan       
spirit-level     	vízmérték        
spirits          	szesz            
spirit-stove     	spirituszfõzõ    
spiritual        	lelki            
spiritualize     	átszellemít      
spirituous       	szeszes          
spirometer       	légzésmérõ       
spirt            	kilövellés       
spit             	köpés            
spit and polish  	fényesítés       
spit at          	leköp            
spit it out      	ki vele/nyögd ki 
spit on          	leköp            
spitball         	papírgalacsin    
spite            	rosszindulat     
spiteful         	rosszindulatú    
spitefulness     	rosszakarat      
spitfire         	méregzsák        
spitting image   	kiköpött mása    
spittle          	köpet            
spittoon         	köpõcsésze       
spiv             	jampec           
splash           	loccsanás        
splash water     	locs-pocs        
splash-board     	sárvédõ          
splash-down      	vízreszállás     
splasher         	sárvédõ          
splash-guard     	sárfogó gumi     
splashy          	sáros            
splatter         	fröcsköl(és)     
splay            	ferde            
splayed          	rézsútos         
splay-foot       	lúdtalp          
spleen           	lép              
splendent        	csillogó         
splendid         	nagyszerû        
splendor         	ragyogás         
splendour        	ragyogás         
splenetic        	rosszkedvû       
splenic          	lép-             
splice           	összefonás       
splicer          	ragasztóprés     
spline           	bütyök           
splint           	szilánk          
splint-bone      	szárkapocscsont  
splinter         	forgács          
splinter off     	lehasad          
